,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
129,3_0_9,0.9850885719930011,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
130,3_0_10,56.08034132922276,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
131,3_0_11,105.69231434662414,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
132,3_0_12,0.3571763349609373,58,Cultivos Multiples,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
133,3_1_0,91530.52263354778,3,Leñosas Cerradas,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
134,3_1_1,3227.076893227512,4,Leñosas Abiertas,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
135,3_1_2,216.98446171828124,6,Leñosas Inundables,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
136,3_1_3,2.254225240889501,11,Pastizal Inundable,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
137,3_1_4,267.4468165463829,15,Pasturas,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
138,3_1_5,85.34881641367559,23,Playa y Dunas,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
139,3_1_6,67.64181389555078,24,Infraestructura Urbana,1.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
