system:index,area,class_id,class_name,territory,version,year,.geo
6_0_4,92755.10800849364,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_5,27916.62278946151,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_6,545.4290000305384,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_7,2394.9192318642154,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_8,374.47533755333774,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_9,10530.060449101096,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_10,5531.234459845294,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_11,0.031053777648925772,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_12,6766.515306877606,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_13,53001.57742372248,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_14,707.5751263789888,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_15,14084.795957216782,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_16,37760.644748873776,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_17,5591.607456235699,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_0,671721.8863698309,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_1,76078.61118021651,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_2,68839.3483004663,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_3,728.9291721333731,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_4,93645.30916267887,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_5,28119.59834972058,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_6,502.6349131511849,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_7,2395.657587693721,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_8,431.4288223482484,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_9,10953.462165403296,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_10,5279.808311503504,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_11,0.01511965814208985,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_12,6910.928248665826,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_13,52715.17900031003,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_14,704.9567241053898,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_15,13895.522417016284,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_16,38382.86722086224,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_0_17,7077.038158891534,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
8_0_0,667944.8185509852,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
