,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1
89,5_0_4,67864.52446330605,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
90,5_0_5,14447.658504825358,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
91,5_0_6,326.2276827571909,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
92,5_0_7,1541.3328561099777,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
93,5_0_8,383.564990078897,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
94,5_0_9,7780.171343866852,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
95,5_0_10,5292.519477861024,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
96,5_0_11,6644.578416345736,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
97,5_0_12,28567.682230048653,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
98,5_0_13,718.9834823124404,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
99,5_0_14,14739.203270701377,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
100,5_0_15,35349.147429065866,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
101,5_0_16,6084.41839159906,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
102,6_0_0,366552.2883895684,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
103,6_0_1,71665.19896478382,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
104,6_0_2,21907.958246600083,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
105,6_0_3,706.1940010399251,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
106,6_0_4,68993.67465447515,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
107,6_0_5,14690.901272103703,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
108,6_0_6,298.6085616034021,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
109,6_0_7,1540.9976347859863,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
110,6_0_8,367.00262998250906,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
111,6_0_9,7940.432060209213,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
112,6_0_10,5529.76241202175,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
113,6_0_11,6583.439602396633,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
114,6_0_12,28211.585158841583,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
115,6_0_13,705.9531000916354,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
116,6_0_14,14084.132678957469,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
117,6_0_15,36052.46816519793,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
118,6_0_16,5302.106114700028,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
119,7_0_0,365974.3016044394,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
120,7_0_1,70418.83211323044,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
121,7_0_2,21766.85116472738,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
122,7_0_3,728.0680328218879,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
123,7_0_4,69561.3576741998,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
124,7_0_5,14334.47141841342,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
125,7_0_6,275.6313824605056,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
126,7_0_7,1542.5919811100075,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
127,7_0_8,417.337275571298,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
128,7_0_9,8234.052514553938,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
129,7_0_10,5276.986604650225,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
130,7_0_11,6726.999646364079,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
131,7_0_12,27826.614551185077,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
132,7_0_13,703.6965292555035,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
133,7_0_14,13894.846036420991,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
134,7_0_15,36534.55715035479,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
135,7_0_16,6915.507967600694,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
136,8_0_0,363261.3429439461,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
137,8_0_1,71187.75712764983,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
138,8_0_2,21707.729785644184,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
139,8_0_3,734.5185694323462,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
140,8_0_4,69943.90007117482,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
141,8_0_5,14015.646652851416,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
142,8_0_6,314.27128390135624,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1993,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
